DRIVER_NAME,location,GROUP,TEAM,mean_KPH,std_KPH,med_KPH,max_KPH,min_KPH,skew_KPH,mean_S1,std_S1,med_S1,max_S1,min_S1,skew_S1,mean_S2,std_S2,med_S2,max_S2,min_S2,skew_S2,mean_S3,std_S3,med_S3,max_S3,min_S3,skew_S3,Total_Lap_Num,cnt_CROSSING_FINISH_LINE_IN_PIT
Adam CARROLL,Berlin,0.0,Panasonic Jaguar Racing,105.72195121951218,22.330823653296537,113.05,117.6,12.2,-3.277095798535593,28662.865853658535,7489.883609773617,27181.5,88695.0,26090.0,7.0068106681139035,21220.70731707317,3736.8605542845753,20606.5,53935.0,19761.0,8.495957941674842,45519.60975609756,93499.63110097639,24785.5,618053.0,23582.0,4.86434364146984,44.0,5
Adam CARROLL,Berlin,1.0,Panasonic Jaguar Racing,88.53333333333335,44.979365639516665,111.6,117.3,36.7,-1.7008109952086108,75939.33333333333,85117.13485740303,27359.0,174222.0,26237.0,1.7317122309138473,21477.333333333332,1526.940186560473,21435.0,23025.0,19972.0,0.12466341279324834,24800.666666666668,1195.927394674666,24647.0,26066.0,23689.0,0.5686660148752283,3.0,0
Adam CARROLL,Berlin2,0.0,Panasonic Jaguar Racing,104.82891566265062,22.88183074140193,112.3,117.2,13.8,-3.1071074516508155,28483.433734939757,6133.264199136463,27229.0,68064.0,26189.0,5.677547726469501,20948.85542168675,950.0356107899463,20745.0,25489.0,19852.999999999996,2.9841030112002644,46031.180722891564,87062.33009146233,24944.0,545655.0,23642.0,4.475657317807365,46.0,6
Adam CARROLL,Berlin2,2.0,Panasonic Jaguar Racing,99.3,27.83451095313155,112.7,117.9,67.3,-1.6642917062818874,42449.333333333336,27467.699818756817,27296.0,74156.0,25896.0,1.7269901485171386,21094.0,1234.22971929864,21143.0,22303.0,19836.0,-0.1783723511032949,24472.333333333332,785.1053007930419,24266.0,25340.0,23811.0,1.1009599119805997,3.0,0
Adam CARROLL,Buenos,0.0,Panasonic Jaguar Racing,113.03698630136988,22.437911289014814,121.0,124.7,9.2,-3.2740394359736626,44119.09589041096,133786.9856992995,18936.0,911424.0,18050.0,5.93558776294023,25953.013698630137,2644.822491907279,25260.0,43315.0,24480.0,4.755580954952919,30939.205479452055,5338.302419410189,29394.000000000004,57662.0,28542.0,4.1259007822156315,36.0,5
Adam CARROLL,Buenos,1.0,Panasonic Jaguar Racing,83.425,50.22233069063999,94.5,125.8,18.9,-0.760870332869262,32080.0,24207.813325453415,20963.0,68217.0,18177.0,1.943913101723478,26926.75,3281.3357417368925,26062.5,31419.0,24163.0,1.1416664599972115,127973.25,193163.18595490704,32798.0,417691.0,28606.0,1.9988827474022202,4.0,1
Adam CARROLL,HongKong,0.0,Panasonic Jaguar Racing,84.93823529411763,29.259922064415793,98.05,104.6,7.7,-1.9369704878338532,23230.0,13486.38115981744,19363.0,86127.0,18482.0,4.091923578248391,22463.970588235294,1748.7123138711215,21995.5,27655.0,20520.0,1.5788988018788639,89536.44117647059,188317.29412884946,26197.5,830916.0,25018.0,3.0865295255308762,17.0,4
Adam CARROLL,HongKong,1.0,Panasonic Jaguar Racing,95.73125,14.609515352323886,101.6,103.9,47.6,-2.4776108673475155,21403.270833333332,8160.38669489351,19049.0,65551.0,18619.0,4.329595974055475,23215.333333333332,6347.857837142179,21399.0,55010.0,20534.000000000004,4.101281237800237,28001.1875,8559.647439190743,25504.5,72797.0,25021.0,4.139735661792313,45.0,1
Adam CARROLL,Marrakesh,0.0,Panasonic Jaguar Racing,115.19393939393939,23.192239277481658,123.1,127.8,15.9,-3.374178220050866,52613.742424242424,97041.69403133425,30562.0,612441.0,28871.0,4.7605037478603265,39072.59090909091,4734.039826218593,37813.0,68119.0,36731.0,4.892737576473804,19120.469696969696,3434.068456016283,18220.0,44324.0,17409.000000000004,6.344619284415989,33.0,5
Adam CARROLL,Marrakesh,4.0,Panasonic Jaguar Racing,84.86666666666667,68.73400419976515,124.3,124.8,5.5,-1.731947695981129,650971.0,1073073.32497225,32234.0,1890049.0,30630.0,1.7320464538239804,38118.666666666664,2030.262134142616,37573.0,40366.0,36417.0,1.122084541373369,18233.333333333332,1352.1395391502065,17492.0,19794.0,17414.0,1.7255688119652222,3.0,0
Adam CARROLL,Mexico,0.0,Panasonic Jaguar Racing,102.67126436781611,25.455094560430528,114.5,117.4,14.1,-2.2580890307908152,36917.3908045977,84188.06052113691,15617.0,483406.0,14983.0,4.51873466221779,32590.22988505747,8128.43504446703,29881.0,75133.0,28980.0,3.5629817208859706,21959.206896551725,5377.826461040573,20207.0,52306.00000000001,19707.0,4.195852720715824,45.0,5
Adam CARROLL,Mexico,4.0,Panasonic Jaguar Racing,74.66666666666667,62.35353505081595,102.1,118.6,3.3,-1.5966047669377332,758075.3333333334,1284200.4294440697,18317.0,2240941.0,14968.0,1.7320375556882348,31229.0,2173.6301433316526,30993.000000000004,33510.99999999999,29183.000000000004,0.4828239912455813,22042.0,2540.206487669851,22255.0,24469.0,19402.0,-0.37467848696807504,3.0,0
Adam CARROLL,Monaco,0.0,Panasonic Jaguar Racing,103.92761904761907,20.33960940192094,110.7,117.7,12.9,-3.1095237938322198,23480.24761904762,5886.585035519568,22006.0,61580.0,20750.0,5.136404055554302,19085.266666666666,3951.185083341516,18132.0,45233.99999999999,16874.000000000004,5.134883591639118,28922.77142857143,60168.7404787021,16933.0,430097.0,16347.000000000002,5.778870313966189,50.0,4
Adam CARROLL,Monaco,2.0,Panasonic Jaguar Racing,96.10000000000001,24.76913401796679,104.6,115.5,68.2,-1.3624008431867214,33179.333333333336,18505.9700997633,24316.0,54450.0,20772.0,1.660862119128,19260.333333333332,1566.4789603864228,19805.999999999996,20480.999999999996,17494.0,-1.3773236028976135,17196.666666666668,874.4382958981919,16765.0,18203.0,16622.0,1.6800855047551726,3.0,0
Adam CARROLL,Montreal,0.0,Panasonic Jaguar Racing,102.68846153846158,27.35659813533951,113.0,117.2,8.5,-2.6211028381543446,81074.11538461539,212985.65194159478,28458.5,1104492.0,27252.0,4.807984993296638,31487.346153846152,4434.749318212318,30381.0,51958.0,28934.0,4.247313448688311,28997.46153846154,2582.3847464042874,28058.0,37582.0,27034.0,1.9763108455236562,16.0,2
Adam CARROLL,Montreal,4.0,Panasonic Jaguar Racing,103.8815789473684,20.772355007910875,113.30000000000001,117.8,43.6,-2.0035283977477105,35903.36842105263,23044.894346213983,28931.0,158307.0,27734.0,4.489705888476901,33439.57894736842,8877.565927150086,30399.5,64116.0,29412.0,3.0058429796924044,32488.394736842107,12508.545367801566,27848.0,81278.0,26723.000000000004,2.7870177463328374,35.0,1
Adam CARROLL,Montreal2,0.0,Panasonic Jaguar Racing,107.10615384615386,21.865675705051096,113.6,120.0,8.9,-3.568940143859859,61306.24615384615,158325.8761906348,28902.0,1039251.0,27018.0,5.518518230721735,30572.10769230769,1387.2279251608786,30210.0,38851.0,28906.0,3.7392698297596336,28371.907692307694,2267.448874307015,27716.0,40546.0,26407.0,3.445648282128664,37.0,4
Adam CARROLL,Montreal2,1.0,Panasonic Jaguar Racing,89.23333333333333,40.779937877997476,107.6,117.6,42.5,-1.6156163612682164,75964.66666666667,81551.0835877325,29997.0,170123.0,27774.0,1.7306030395277672,31670.0,2007.9873007566557,32079.0,33442.0,29489.0,-0.8785618065281764,28521.0,1562.9830453335057,29055.0,29747.0,26761.0,-1.3579822953078073,3.0,0
Adam CARROLL,Newyork,0.0,Panasonic Jaguar Racing,89.32564102564105,28.127189673345928,100.7,110.3,13.4,-2.123103000784844,30011.128205128207,12208.226579645914,27357.0,99595.0,25069.0,5.279234174631281,19866.30769230769,1207.8404424479897,19709.0,23704.0,18113.0,1.244515971966702,67205.76923076923,132148.36451314096,22230.0,481508.0,20561.0,2.75040774990114,26.0,4
Adam CARROLL,Newyork,3.0,Panasonic Jaguar Racing,99.31739130434784,15.914553847173641,105.95,110.6,48.4,-2.2769911482419705,29218.521739130436,9147.880922169,26304.5,73022.0,24988.0,3.55596551012128,19808.195652173912,4206.735206095446,18472.0,39514.0,17972.0,3.777081466426675,24699.717391304348,10621.417807980759,21615.0,70499.0,20595.0,3.776064054943535,43.0,1
