location,season_year,match_name,match_type,mean_air_temp,std_air_temp,med_air_temp,max_air_temp,min_air_temp,range_air_temp,skew_air_temp,mean_track_temp,std_track_temp,med_track_temp,max_track_temp,min_track_temp,range_track_temp,skew_track_temp,mean_HUMIDITY,std_HUMIDITY,med_HUMIDITY,max_HUMIDITY,min_HUMIDITY,range_HUMIDITY,skew_HUMIDITY,mean_PRESSURE,std_PRESSURE,med_PRESSURE,max_PRESSURE,min_PRESSURE,range_PRESSURE,skew_PRESSURE,mean_WIND_SPEED,std_WIND_SPEED,med_WIND_SPEED,max_WIND_SPEED,min_WIND_SPEED,range_WIND_SPEED,skew_WIND_SPEED
Mexico,2016-2017,Groups Qualifying Session,Q,27.10183571428572,0.5749678437759033,27.4444,27.7222,26.3889,1.3333000000000013,-0.4067878629524634,21.57409999999999,0.2095698032614051,21.6667,21.6667,21.1111,0.5555999999999983,-1.8558017135458564,31.142857142857142,0.3541688016605738,31.0,32,31,1,2.117634293262182,779.4364761904761,0.19819997761502728,779.4984999999999,779.7189999999999,779.143,0.5759999999999081,-0.1845131351922359,7.165412619047618,1.516477922712184,8.04672,8.04672,3.21869,4.82803,-1.4170199749076227
Mexico,2016-2017,Non Qualifying Practice 1,FP1,16.88888000000001,1.024915247183439,17.3333,19.2222,15.0556,4.166600000000001,-0.6148845678696244,21.91358444444444,0.8167896947405396,21.6667,23.3333,20.5556,2.777700000000003,0.15891049204913033,55.15555555555556,0.3665288997383889,55.0,56,55,1,1.9669123855518476,780.8246666666665,0.06107967970379964,780.802,780.938,780.7339999999999,0.20400000000006457,0.15862608816302728,2.6107126666666667,1.6909915023661546,3.21869,4.82803,0.0,4.82803,-0.1541614353320201
Mexico,2016-2017,Non Qualifying Practice 2,FP2,25.54631333333333,0.21936849133023925,25.6667,25.7778,25.1667,0.6111000000000004,-0.9184975343463543,20.555600000000016,0.0,20.5556,20.5556,20.5556,0.0,0.0,33.266666666666666,0.44977644510880493,33.0,34,33,1,1.1116633728541518,780.3913666666667,0.06275594948212461,780.3960000000001,780.5310000000001,780.26,0.27100000000007185,0.4751895927399501,5.9545733333333315,2.9020560235678494,6.43738,14.4841,1.60934,12.87476,0.8989928709595969
Mexico,2016-2017,Race,Race,27.26217719298246,0.1759225661817722,27.2778,27.5,26.9444,0.5555999999999983,-0.6459544802991027,23.245589473684216,0.2043593418503388,23.3333,23.3333,22.7778,0.5555000000000021,-1.9274871235809912,34.36842105263158,0.48666426339228913,34.0,35,34,1,0.5604012729971584,777.9013508771931,0.12051696549625113,777.89,778.2289999999999,777.687,0.5419999999999163,0.6437457145656493,7.48203877192983,3.310648507950772,6.43738,19.3121,3.21869,16.093410000000002,1.2710793963760594
Mexico,2016-2017,Super Pole Session,Q,27.817464285714284,0.14522317894639677,27.8889,27.9444,27.5556,0.38880000000000337,-1.3836383561975625,22.222199999999994,0.0,22.2222,22.2222,22.2222,0.0,0.0,30.642857142857142,0.49724515809884623,31.0,31,30,1,-0.6703601390665901,778.8768571428571,0.060904537083527534,778.889,778.9739999999999,778.77,0.2039999999999509,-0.43589437629370825,6.782233571428569,3.167426039235127,6.43738,16.0934,3.21869,12.874709999999999,1.9833452481069749
Hong Kong,2017-2018,Non Qualifying Practice 1,FP1,78.2745688953494,318.93366710970867,19.0,1802.61,18.3333,1784.2767,5.225431920855145,25.620549418604426,9.037335556716709,23.8889,73.8889,23.3333,50.555600000000005,5.147002355556013,81.15770348837209,32.70263872648572,75.0,255,74,181,5.129958140598661,985.1992805232446,181.18445505207535,1018.56,1019.07,0.0,1019.07,-5.2575117905910425,10.753901351743858,48.06652115505871,2.12187,270.538,0.0,270.538,5.219593189909281
Marrakesh,2017-2018,Non Qualifying Practice 1,FP1,8.476543555555555,0.4578912387543358,8.44444,9.38889,7.888889999999999,1.5000000000000009,0.25829821177765583,9.123455555555553,0.2774942773411212,8.88889,9.44444,8.88889,0.5555500000000002,0.3259107645735326,85.04444444444445,0.9034166348709881,85.0,86,84,2,-0.09006538483862281,963.9700444444443,0.08550277920939613,964.003,964.071,963.7660000000001,0.30499999999995,-0.7583074772549857,1.7210702222222223,1.0188413424806027,2.12187,4.24374,0.0,4.24374,0.03798298598581817
Marrakesh,2017-2018,Non Qualifying Practice 2,FP2,10.561103333333332,0.41197109580844266,10.3333,11.4444,10.2222,1.222199999999999,1.0316396395884906,12.777800000000008,0.0,12.7778,12.7778,12.7778,0.0,0.0,90.6,1.6938020891595862,91.0,93,88,5,-0.1386762428700491,965.0813333333332,0.046467143255154476,965.087,965.189,964.985,0.2039999999999509,0.14794809393256836,2.7584283333333337,1.1351654516628187,3.1828,4.24374,1.06093,3.18281,-0.18820792907295547
Marrakesh,2017-2018,Qualifying Group 1,Q,10.953666666666669,0.02269860494979168,10.9444,11.0,10.9444,0.055600000000000094,2.4494897427827675,13.888900000000001,0.0,13.8889,13.8889,13.8889,0.0,0.0,92.83333333333333,0.4082482904638644,93.0,93,92,1,-2.449489742783127,964.4718333333334,0.04957183340034621,964.4604999999999,964.545,964.41,0.1349999999999909,0.424506310667963,1.2377566666666666,1.0431030591780788,1.5914,2.12187,0.0,2.12187,-0.45593555907427397
Marrakesh,2017-2018,Qualifying Group 2,Q,11.101849999999999,0.02265778012074446,11.1111,11.1111,11.0556,0.05550000000000033,-2.449489742782884,13.888900000000001,0.0,13.8889,13.8889,13.8889,0.0,0.0,92.66666666666667,0.5163977794943199,93.0,93,92,1,-0.9682458365518958,964.3646666666667,0.017557524502865105,964.3760000000001,964.3760000000001,964.342,0.0340000000001055,-0.968245836551854,2.652335,1.1127184920679623,2.652335,4.24374,1.06093,3.18281,0.0
